likes,comments,caption,time
19288,67,#jenniferlawrence,2016-08-25 04:15:16
26479,125,#jenniferlawrence,2016-08-23 02:44:44
23709,66,#jenniferlawrence,2016-08-20 03:40:39
23692,80,#tbt Oscars 2014 😍 #jenniferlawrence,2016-08-18 05:06:34
21792,89,#jenniferlawrence,2016-08-17 02:21:30
24617,106,0.6m 😨 Thank you 🙌🏽 #600k 😘,2016-08-16 10:04:34
24158,591,HAPPY 26th BIRTHDAY #jenniferlawrence 😍,2016-08-15 03:32:44
33069,218,"#jenniferlawrence 
@lawrenceupdate",2016-08-14 03:40:44
22453,97,🙌🏽 @marat_art 🙌🏽,2016-08-13 04:52:12
30201,148,#jenniferlawrence,2016-08-09 03:46:43
25277,97,#jenniferlawrence,2016-08-06 03:11:20
28828,131,#jenniferlawrence 🔥😍,2016-08-04 02:42:50
29519,190,#jenniferlawrence,2016-08-01 03:00:03
25071,131,#jenniferlawrence 😍😂,2016-07-29 12:52:57
26665,109,#jenniferlawrence#katnisseverdeen,2016-07-28 01:27:16
24127,87,#tbt #jenniferlawrence for Abercrombie & Fitch 😍,2016-07-27 03:44:23
24998,138,#jenniferlawrence,2016-07-25 03:02:11
24885,107,Drawing by @_artistiq #jenniferlawrence,2016-07-21 04:44:49
24224,81,#tbt Comic Con San Diego. #jenniferlawrence,2016-07-19 03:25:28
26916,150,HappySaturday! #jenniferlawrence,2016-07-16 11:19:15
26324,141,[no caption],2016-07-14 03:16:31
33998,197,An amazing drawing by @_artistiq #jenniferlawrence,2016-07-11 03:20:45
33373,204,#TheHungerGames 😍,2016-07-09 01:46:59
37808,127,#tbt  Mockingjay Berlin World Premiere #jenniferlawrence,2016-07-07 00:34:30
24200,90,#jenniferlawrence,2016-07-05 04:43:25
30701,118,#jenniferlawrence,2016-07-02 05:54:18
26356,86,#tbt Oscars 2014 #jenniferlawrence,2016-06-30 04:27:17
27043,116,#jenniferlawrence #joshhutcherson 😍,2016-06-28 19:46:28
35054,205,#tbt #jenniferlawrence #katnisseverdeen,2016-06-25 05:50:42
29119,116,#jenniferlawrence#joshhutcherson @liamhemsworth,2016-06-24 03:37:37
23865,64,#jenniferlawrence#selfie,2016-06-23 01:48:52
24649,112,#tbt #jenniferlawrence 🔙😍,2016-06-21 03:27:15
30213,125,#JenniferLawrence and #JoshHutcherson on the set of #CatchingFire 🔥,2016-06-18 04:06:30
25522,111,#jenniferlawrence,2016-06-17 01:55:22
22958,84,#jenniferlawrence,2016-06-15 01:44:53
31088,169,#jenniferlawrence,2016-06-12 03:03:17
26342,137,#jenniferlawrence,2016-06-10 07:44:25
25903,118,#jenniferlawrence,2016-06-07 01:52:34
28348,185,#Tbt • MockingjayPart2 🔙 #jenniferlawrence,2016-06-04 13:38:17
22525,95,Happy Friday🙌🏽 #jenniferlawrence,2016-06-03 07:02:31
18142,70,#Mockingjaypart2 #LApremiere #jenniferlawrence,2016-06-02 01:57:41
25410,116,#tbt CatchingFire 🔥 #Katniss#Peeta #jenniferlawrence,2016-05-31 02:45:10
28437,194,#JenniferLawrence,2016-05-29 06:15:08
