likes,comments,caption,time
1412914,8253,"It’s a hard play when you have to choose your side! Which one would you choose: PestanaCR7 Funchal or Pestana CR7 Lisboa?
@pestanacr7  #PestanaCR7 #PestanaCR7Funchal #PestanaCR7Lisboa #TimeToWin 
Book Now ► www.pestanacr7.com",2017-06-07 13:05:23
2370943,7905,Travel🛫,2017-06-07 09:31:55
3102535,13871,Happy to be back home❤️️🙏,2017-06-07 06:58:50
3834608,10749,👏,2017-06-07 04:03:01
1668373,14105,#FIFA18. It’s My Time. @easportsfifa,2017-06-06 15:06:36
4308197,19153,Proud of you. Congrats to win the copa 2017 and pichichi. ❤️️❤️️,2017-06-06 11:45:25
3489517,13753,Gracias aficionados 🙏,2017-06-06 10:12:05
3824688,16024,With my friend pepito👍👌,2017-06-05 20:12:58
3927265,39804,Great seasons lead to great things. #FIFA18 @easportsfifa,2017-06-05 11:24:02
4249146,22368,Simmmmmmm👌,2017-06-05 05:07:22
4417609,22273,My man ❤️️,2017-06-04 20:28:28
2706347,15749,Gracias 👌,2017-06-04 16:18:56
5104709,27395,❤️️❤️️,2017-06-04 14:07:22
4982595,284466,Do you like it??????😉,2017-06-04 12:15:00
3478502,16565,#JustDoIt,2017-06-04 12:03:25
3184742,8524,Family 👌❤️️👍,2017-06-04 09:22:38
2958811,10682,👌👌👌👌,2017-06-04 06:22:41
5035179,22965,❤️️,2017-06-04 00:57:01
5755651,50128,Happy man 😀,2017-06-03 21:33:40
6389555,41698,4 times in the row 👌,2017-06-03 20:30:40
3937245,28939,Champions. ⚽️⚽️⚽️⚽️😘❤️️,2017-06-03 19:38:06
1649380,23877,Pick your skill level. Master it. Do it again. 🔝⚽🔝,2017-06-01 13:55:56
2772875,17044,2days,2017-06-01 10:27:20
3014369,18346,CR7 Denim👌🏼,2017-05-31 15:00:31
3109801,17735,Final touches 👌,2017-05-31 12:55:13
